OR4F16	 GNAL,ARRB2,ADRBK2
NOC2L	 LRIF1,DDX55,ATXN7,PDCD11,TP53,MAGED1,DDX56,TRRAP,RBFOX1,ILK
KLHL17	 ACTC1,CUL3
HES4	 TNF,NOTCH1,NFKB1,RELA,NOTCH2,NOTCH3,IL6,NOTCH4,JUN,FOS
ISG15	 IRF3,STAT1,IFNB1,IFNG,UBA7,SOAT1,USP18,PPM1B,IFIT1,IRF1
AGRN	 MUSK,RAPSN,RAC1,RAC3,RAC2,LRP4,CDC42,GFI1B,NOS1,ATN1
TTLL10	 NAP1L1
TNFRSF18	 TNFSF18,TRAF1,TRAF2,TRAF3,TNFRSF18,LNX1
TNFRSF4	 TRAF3,TRAF5,TRAF2,IL2RA,IL2RB,TRAF1,IL2RG,IL2,TNFRSF9,TRAF4
SDF4	 CXCR4,AKT1,ZNF512B,AKT2,AKT3,IFNG,CDKN1A,RAP1B,TK1,RPA2
B3GALT6	 BCAN,DCN,VCAN,SDC3,NCAN,CSPG4,CSPG5,SDC1,SDC2,HSPG2
UBE2J2	 ATP13A2,PARK2,UBE2G2,UBA1,WWP2,ITCH,XIAP,MARCH6,RNF10,XPOT
SCNN1D	 SCNN1G,SCNN1B,COMMD1,UBC,SGK3,SGK2,SGK1,SKP1,TSC22D3,RPS27A
ACAP3	 SLC35G2,EIF6,TAB1,F10,ITGB3BP
PUSL1	 ICT1,APP,UBC
TAS1R3	 TAS1R1,TAS1R2,GNAT3,GNAS
DVL1	 WNT1,WNT2,WNT3,WNT6,WNT4,WNT11,WNT16,DVL3,DVL1,CSNK1E
MXRA8	 UBC
AURKAIP1	 AURKA,AURKAIP1,MRPL54,MRPL55,MRPL50,MRPL51,MRPL52,MRPL53,CUL3,MRPL36
CCNL2	 CSNK2A2,DYRK1A,CDK11A,CDK11B,POLR2A,PLRG1,AUTS2,RRP1B,THRAP3,KMT2A
MRPL20	 CALM1,ITSN1,TP53BP2,MRPL13,MRPL15,MRPL16,MRPL19,MRPL2,ACP1,EPS8
VWA1	 HSPG2,VWA1
ATAD3C	 PHKG2,RPS11,YME1L1,HSPA8,RPS18,PABPC5,PRKDC,MRPS17,MRPS15,IL25
ATAD3B	 UBC,AGO3,USP11,ZCCHC11,NOP56,DYNLL1,ERBB2IP,MFGE8,KDM1A,PLK1
ATAD3A	 ATP5A1,HSPD1,SLC25A5,SYNPO,HSPA9,HSPA8,SRSF10,DBN1,GRWD1,CBLB
TMEM240	 WNT3,WNT2,WNT1,WNT6,WNT4,WNT16,WNT11
SSU72	 SYMPK,UIMC1,RAD21,MAPK8,MAPK9,SMC1A,STAG2,SMC3,NUDCD2,CAPZB
MIB2	 TBK1,UBE2U,ACTA1,WWP2,RNF11,ACTC1,UBE2D2,MIB1,HSPA1A,DYRK2
MMP23B	 GLRX,EP300
MMP23A	 GLRX,EP300
CDK11B	 CCND3,YWHAQ,YWHAB,YWHAG,YWHAE,KAT7,URM1,EIF3F,CCNL2,CSNK2A2
CDK11A	 CCNL1,PAK1,SKIV2L,B4GALT1,RNPS1,GADD45A,CSNK2A2,CSNK2A1,SRSF7,SMAD3
NADK	 CALM3,CALM2,CALM1,CA2,GLRX3,EEF1G,LNX1,NUDT18,YWHAG,GRB2
GNB1	 GNG2,GNAS,GNAI1,GNAI3,GNAQ,GNAI2,GNGT1,GNA11,GNGT2,PIK3CA
CALML6	 PPP3R2,PPP3R1,PLCB1,HRAS,PPP1CC,PLCB2,PLCG2,PLCG1,PLCB3,PPP1R3D
TMEM52	 WNT3,WNT2,WNT1,WNT6,WNT4,WNT16,WNT11
GABRD	 UBQLN1,UBQLN4,MDFI,CLCA3P,FXYD3,GABRR1,GABRG1,GABRR3,ANO2,CLCNKA
PRKCZ	 INS,PARD6A,PRKCZ,PDPK1,SQSTM1,PARD6B,IRAK1,PARD3,YWHAB,PRKCI
FAAP20	 C19orf40,FANCF,FANCE,FANCL,FANCB
SKI	 SMAD4,SMAD2,SMAD3,SKIL,SKI,NCOR1,SIN3A,SMAD5,SMAD1,SNW1
MORN1	 UBC
RER1	 SH3GL3,HAP1,IMMT,SURF4,BCAP31,SPCS2,SPCS3,PHB2,RABGAP1,PTPLAD1
